#####################################################################################,,,,,,
# Ribosomal Protein Mass Fractions in E. coli,,,,,,
# =================================================,,,,,,
# Collated measurements of the ribosomal protein proteome mass fraction in E. coli,,,,,,
# and the corresponding steady-state growth rate. Growth rates are  provided in ,,,,,,
"# inverse hours. The ""notes"" column provides details regarding where ",,,,,,
# the data came from in each source entry. ,,,,,,
#####################################################################################,,,,,,
growth_rate_hr,mass_fraction,source,method,notes,medium,rp_ratio
0.091,0.071924986072423,"Li et al., 2018","Measurement of RNA to Protein Ratio taken from supplemental table 2, converted to mass fraction using a conversion factor",,WT_N_01,NA
0.3,0.0876673446465888,"Li et al., 2018","Measurement of RNA to Protein Ratio taken from supplemental table 2, converted to mass fraction using a conversion factor",,WT_N_03,NA
0.44,0.099259010591144,"Li et al., 2018","Measurement of RNA to Protein Ratio taken from supplemental table 2, converted to mass fraction using a conversion factor",,WT_N_05,NA
0.63,0.117855191815857,"Li et al., 2018","Measurement of RNA to Protein Ratio taken from supplemental table 2, converted to mass fraction using a conversion factor",,WT_N_07,NA
1.67,0.253610941282292,"Li et al., 2018","Measurement of RNA to Protein Ratio taken from supplemental table 2, converted to mass fraction using a conversion factor",,WT_Rich_17,NA
1.1,0.168504155947159,"Li et al., 2018","Measurement of RNA to Protein Ratio taken from supplemental table 2, converted to mass fraction using a conversion factor",,WT_G6P_11,NA
0.93,0.157110064078685,"Li et al., 2018","Measurement of RNA to Protein Ratio taken from supplemental table 2, converted to mass fraction using a conversion factor",,WT_Glu_09,NA
0.6,0.120988643656674,"Li et al., 2018","Measurement of RNA to Protein Ratio taken from supplemental table 2, converted to mass fraction using a conversion factor",,WT_Man_06,NA
0.56,0.119322884130064,"Li et al., 2018","Measurement of RNA to Protein Ratio taken from supplemental table 2, converted to mass fraction using a conversion factor",,WT_Gly_06,NA
0.44,0.085160400210475,"Li et al., 2018","Measurement of RNA to Protein Ratio taken from supplemental table 2, converted to mass fraction using a conversion factor",,WT_Ace_04,NA
0.2306,0.0781770333490095,"Li et al., 2018","Measurement of RNA to Protein Ratio taken from supplemental table 2, converted to mass fraction using a conversion factor",,WT_Arg_02,NA
0.0671641791044776,0.0595885321100915,"Mori et al., 2017",Measurement of RNA to Protein Ratio converted to mass fraction using a conversion factor,Data digitized from Fig S2A.,MIN/AA,0.130733944954128
0.194029850746269,0.058543119266055,"Mori et al., 2017",Measurement of RNA to Protein Ratio converted to mass fraction using a conversion factor,Data digitized from Fig S2A.,MIN/AA,0.128440366972477
0.126865671641791,0.062724770642202,"Mori et al., 2017",Measurement of RNA to Protein Ratio converted to mass fraction using a conversion factor,Data digitized from Fig S2A.,MIN/AA,0.137614678899083
0.149253731343283,0.0648155963302751,"Mori et al., 2017",Measurement of RNA to Protein Ratio converted to mass fraction using a conversion factor,Data digitized from Fig S2A.,MIN/AA,0.142201834862385
0.194029850746269,0.0721334862385321,"Mori et al., 2017",Measurement of RNA to Protein Ratio converted to mass fraction using a conversion factor,Data digitized from Fig S2A.,MIN/AA,0.158256880733945
