"","mu","phi_Rb","name","source","color","shape"
"160",0.798507462686567,0.128585779816514,"Chure & Cremer 2023","Mori et al., 2017","#1B9E77",12
"161",0.791044776119403,0.131722018348624,"Chure & Cremer 2023","Mori et al., 2017","#1B9E77",12
"162",0.902985074626866,0.137994495412844,"Chure & Cremer 2023","Mori et al., 2017","#1B9E77",12
"163",0.925373134328358,0.137994495412844,"Chure & Cremer 2023","Mori et al., 2017","#1B9E77",12
"164",0.91044776119403,0.124404128440367,"Chure & Cremer 2023","Mori et al., 2017","#1B9E77",12
"165",0.985074626865672,0.137994495412844,"Chure & Cremer 2023","Mori et al., 2017","#1B9E77",12
"166",1.04477611940298,0.141130733944954,"Chure & Cremer 2023","Mori et al., 2017","#1B9E77",12
"167",2.45227606461087,NA,"Chure & Cremer 2023","Mori et al., 2017","#1B9E77",12
"168",0.44,0.077486,"Chure & Cremer 2023","You et al., 2013","#1B9E77",13
"169",0.41,0.077486,"Chure & Cremer 2023","You et al., 2013","#1B9E77",13
"170",0.62,0.104834,"Chure & Cremer 2023","You et al., 2013","#1B9E77",13
"171",0.64,0.104834,"Chure & Cremer 2023","You et al., 2013","#1B9E77",13
"172",0.87,0.127624,"Chure & Cremer 2023","You et al., 2013","#1B9E77",13
"173",1,0.1381298,"Chure & Cremer 2023","You et al., 2013","#1B9E77",13
"174",1.84,0.211967781155015,"Chure & Cremer 2023","Basan et al., 2015","#1B9E77",14
"175",1.27,0.165353312302839,"Chure & Cremer 2023","Basan et al., 2015","#1B9E77",14
"176",0.98,0.134002462462462,"Chure & Cremer 2023","Basan et al., 2015","#1B9E77",14
"177",0.7,0.107080901408451,"Chure & Cremer 2023","Basan et al., 2015","#1B9E77",14
"178",0.45,0.0777753968253968,"Chure & Cremer 2023","Basan et al., 2015","#1B9E77",14
"179",0.42,0.0770546803069054,"Chure & Cremer 2023","Basan et al., 2015","#1B9E77",14
"180",0.419763360996177,0.07785785595955,"Chure & Cremer 2023","Zhu & Dai, 2019","#1B9E77",15
"181",0.460810099947396,0.0806663686826258,"Chure & Cremer 2023","Zhu & Dai, 2019","#1B9E77",15
"182",0.690806880903217,0.102401566025737,"Chure & Cremer 2023","Zhu & Dai, 2019","#1B9E77",15
"183",0.974286903200986,0.133236516366092,"Chure & Cremer 2023","Zhu & Dai, 2019","#1B9E77",15
"184",1.36435654447384,0.165505783601718,"Chure & Cremer 2023","Zhu & Dai, 2019","#1B9E77",15
"185",1.8285898231096,0.215264555654133,"Chure & Cremer 2023","Zhu & Dai, 2019","#1B9E77",15
"274",1.77,0.2568,"Wu et al. 2023","Wu et al. 2023","#D95F02",16
"275",1.42,0.2258,"Wu et al. 2023","Wu et al. 2023","#D95F02",16
"276",1.58,0.2292,"Wu et al. 2023","Wu et al. 2023","#D95F02",16
"277",1.32,0.2017,"Wu et al. 2023","Wu et al. 2023","#D95F02",16
"278",0.955,0.1533,"Wu et al. 2023","Wu et al. 2023","#D95F02",16
"279",0.74,0.1349,"Wu et al. 2023","Wu et al. 2023","#D95F02",16
"280",0.535,0.1122,"Wu et al. 2023","Wu et al. 2023","#D95F02",16
"281",0.34,0.0838,"Wu et al. 2023","Wu et al. 2023","#D95F02",16
"C2",0.91,0.155659842787543,"Mori et al. 2021","Mori et al. 2021","#7570B3",17
"C3",0.77,0.145783824955863,"Mori et al. 2021","Mori et al. 2021","#7570B3",17
"C4",0.69,0.138192477397836,"Mori et al. 2021","Mori et al. 2021","#7570B3",17
"C5",0.56,0.125820502562775,"Mori et al. 2021","Mori et al. 2021","#7570B3",17
"C6",0.48,0.110193908037919,"Mori et al. 2021","Mori et al. 2021","#7570B3",17
"C7",0.35,0.0948833316303378,"Mori et al. 2021","Mori et al. 2021","#7570B3",17
"C8",0.72,0.139405822677074,"Mori et al. 2021","Mori et al. 2021","#7570B3",17
"D6",0.56,0.122726894629835,"Mori et al. 2021","Mori et al. 2021","#7570B3",17
"D7",0.33,0.0935159084183217,"Mori et al. 2021","Mori et al. 2021","#7570B3",17
"D8",0.49,0.112328091018797,"Mori et al. 2021","Mori et al. 2021","#7570B3",17
"F4",0.81,0.156491804104096,"Mori et al. 2021","Mori et al. 2021","#7570B3",17
"F5",0.71,0.14171103012824,"Mori et al. 2021","Mori et al. 2021","#7570B3",17
"F6",0.55,0.126214263687816,"Mori et al. 2021","Mori et al. 2021","#7570B3",17
"F7",0.5,0.115571556648565,"Mori et al. 2021","Mori et al. 2021","#7570B3",17
"F8",0.34,0.0954089170176075,"Mori et al. 2021","Mori et al. 2021","#7570B3",17
"Lib.06",0.501070251007189,0.107984320949976,"Mori et al. 2021","Mori et al. 2021","#7570B3",17
"Lib.24",0.904105018121668,0.158176377090104,"Mori et al. 2021","Mori et al. 2021","#7570B3",17
"Lib.25",0.681784112026176,0.132742846045325,"Mori et al. 2021","Mori et al. 2021","#7570B3",17
"Lib.26",1.12402245496207,0.171707789419498,"Mori et al. 2021","Mori et al. 2021","#7570B3",17
"Lib.27",0.489280362748197,0.109910668868517,"Mori et al. 2021","Mori et al. 2021","#7570B3",17
"Lib.28",0.831776616671934,0.163115703893126,"Mori et al. 2021","Mori et al. 2021","#7570B3",17
"Lib.29",0.770163533955495,0.15599373588078,"Mori et al. 2021","Mori et al. 2021","#7570B3",17
"Lib.30",0.848751649665239,0.153095676767944,"Mori et al. 2021","Mori et al. 2021","#7570B3",17
"1100",1.88,0.242,"Zhu et al. 2025","Zhu et al. 2025","#E7298A",18
"282",1.26,0.182,"Zhu et al. 2025","Zhu et al. 2025","#E7298A",18
"310",0.97,0.147,"Zhu et al. 2025","Zhu et al. 2025","#E7298A",18
"410",0.69,0.1135,"Zhu et al. 2025","Zhu et al. 2025","#E7298A",18
"510",0.41,0.086,"Zhu et al. 2025","Zhu et al. 2025","#E7298A",18
