"lambda","phi_Rb","name","source"
0.38,0.086,"Chure & Cremer 2023","Erickson et al., 2017"
0.57,0.105,"Chure & Cremer 2023","Erickson et al., 2017"
0.091,0.0726436860017846,"Chure & Cremer 2023","Li et al., 2018"
0.3,0.0789628267356524,"Chure & Cremer 2023","Li et al., 2018"
0.47,0.100846724966711,"Chure & Cremer 2023","Li et al., 2018"
0.62,0.113372083792723,"Chure & Cremer 2023","Li et al., 2018"
0.091,0.071924986072423,"Chure & Cremer 2023","Li et al., 2018"
0.3,0.0876673446465888,"Chure & Cremer 2023","Li et al., 2018"
0.44,0.099259010591144,"Chure & Cremer 2023","Li et al., 2018"
0.63,0.117855191815857,"Chure & Cremer 2023","Li et al., 2018"
1.67,0.253610941282292,"Chure & Cremer 2023","Li et al., 2018"
1.1,0.168504155947159,"Chure & Cremer 2023","Li et al., 2018"
0.93,0.157110064078685,"Chure & Cremer 2023","Li et al., 2018"
0.6,0.120988643656674,"Chure & Cremer 2023","Li et al., 2018"
0.56,0.119322884130064,"Chure & Cremer 2023","Li et al., 2018"
0.44,0.085160400210475,"Chure & Cremer 2023","Li et al., 2018"
0.2306,0.0781770333490095,"Chure & Cremer 2023","Li et al., 2018"
0.0671641791044776,0.0595885321100915,"Chure & Cremer 2023","Mori et al., 2017"
0.194029850746269,0.058543119266055,"Chure & Cremer 2023","Mori et al., 2017"
0.126865671641791,0.062724770642202,"Chure & Cremer 2023","Mori et al., 2017"
0.149253731343283,0.0648155963302751,"Chure & Cremer 2023","Mori et al., 2017"
0.194029850746269,0.0721334862385321,"Chure & Cremer 2023","Mori et al., 2017"
0.253731343283582,0.0742243119266056,"Chure & Cremer 2023","Mori et al., 2017"
0.291044776119403,0.0731788990825687,"Chure & Cremer 2023","Mori et al., 2017"
0.328358208955224,0.0784059633027522,"Chure & Cremer 2023","Mori et al., 2017"
0.365671641791045,0.0867692660550458,"Chure & Cremer 2023","Mori et al., 2017"
0.395522388059701,0.0836330275229357,"Chure & Cremer 2023","Mori et al., 2017"
0.440298507462687,0.0867692660550458,"Chure & Cremer 2023","Mori et al., 2017"
0.455223880597015,0.0878146788990828,"Chure & Cremer 2023","Mori et al., 2017"
0.552238805970149,0.102450458715596,"Chure & Cremer 2023","Mori et al., 2017"
0.574626865671642,0.103495871559633,"Chure & Cremer 2023","Mori et al., 2017"
0.619402985074627,0.0993142201834864,"Chure & Cremer 2023","Mori et al., 2017"
0.619402985074627,0.0961779816513763,"Chure & Cremer 2023","Mori et al., 2017"
0.716417910447761,0.112904587155963,"Chure & Cremer 2023","Mori et al., 2017"
0.798507462686567,0.128585779816514,"Chure & Cremer 2023","Mori et al., 2017"
0.791044776119403,0.131722018348624,"Chure & Cremer 2023","Mori et al., 2017"
0.902985074626866,0.137994495412844,"Chure & Cremer 2023","Mori et al., 2017"
0.925373134328358,0.137994495412844,"Chure & Cremer 2023","Mori et al., 2017"
0.91044776119403,0.124404128440367,"Chure & Cremer 2023","Mori et al., 2017"
0.985074626865672,0.137994495412844,"Chure & Cremer 2023","Mori et al., 2017"
1.04477611940298,0.141130733944954,"Chure & Cremer 2023","Mori et al., 2017"
2.45227606461087,NA,"Chure & Cremer 2023","Mori et al., 2017"
0.44,0.077486,"Chure & Cremer 2023","You et al., 2013"
0.41,0.077486,"Chure & Cremer 2023","You et al., 2013"
0.62,0.104834,"Chure & Cremer 2023","You et al., 2013"
0.64,0.104834,"Chure & Cremer 2023","You et al., 2013"
0.87,0.127624,"Chure & Cremer 2023","You et al., 2013"
1,0.1381298,"Chure & Cremer 2023","You et al., 2013"
1.84,0.211967781155015,"Chure & Cremer 2023","Basan et al., 2015"
1.27,0.165353312302839,"Chure & Cremer 2023","Basan et al., 2015"
0.98,0.134002462462462,"Chure & Cremer 2023","Basan et al., 2015"
0.7,0.107080901408451,"Chure & Cremer 2023","Basan et al., 2015"
0.45,0.0777753968253968,"Chure & Cremer 2023","Basan et al., 2015"
0.42,0.0770546803069054,"Chure & Cremer 2023","Basan et al., 2015"
0.419763360996177,0.07785785595955,"Chure & Cremer 2023","Zhu & Dai, 2019"
0.460810099947396,0.0806663686826258,"Chure & Cremer 2023","Zhu & Dai, 2019"
0.690806880903217,0.102401566025737,"Chure & Cremer 2023","Zhu & Dai, 2019"
0.974286903200986,0.133236516366092,"Chure & Cremer 2023","Zhu & Dai, 2019"
1.36435654447384,0.165505783601718,"Chure & Cremer 2023","Zhu & Dai, 2019"
